{'position': {'x': 4532.016602, 'y': 27.0, 'z': -2105.275879}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 15}
{'position': {'x': 3987.684814, 'y': 106.966469, 'z': -1942.686401}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3104.995117, 'y': 251.012039, 'z': -2503.586426}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3263.98877, 'y': 136.757614, 'z': -2511.373291}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3736.726074, 'y': 150.539047, 'z': -1981.683228}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4492.747559, 'y': 27.0, 'z': -2134.50708}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 15}
{'position': {'x': 3411.520508, 'y': 128.102676, 'z': -2380.945068}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4060.421631, 'y': 103.212227, 'z': -1805.993408}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4003.740479, 'y': 100.256363, 'z': -2031.736816}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3008.543213, 'y': 251.267349, 'z': -2609.595703}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3917.191895, 'y': 136.215118, 'z': -1760.386108}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3403.52417, 'y': 129.340057, 'z': -2360.156494}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3204.422119, 'y': 199.993896, 'z': -2293.237061}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3379.640381, 'y': 128.970764, 'z': -2500.108643}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4282.695801, 'y': 83.275406, 'z': -1900.020874}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3822.275879, 'y': 104.051277, 'z': -2046.513794}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4149.673828, 'y': 96.67762, 'z': -2091.050781}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3880.317871, 'y': 99.679138, 'z': -2005.5}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3882.811523, 'y': 150.431412, 'z': -1648.760986}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'town', 'substance': 'iwa', 'area_no': 15}
{'position': {'x': 3087.381104, 'y': 173.654327, 'z': -2107.412842}, 'level_range': {'x': 16.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 15}
{'position': {'x': 3554.879883, 'y': 110.463211, 'z': -2221.328857}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3219.745605, 'y': 199.993896, 'z': -2312.941162}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4026.936279, 'y': 105.784851, 'z': -1814.309204}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3658.519287, 'y': 115.272903, 'z': -2075.46582}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4290.066895, 'y': 102.282471, 'z': -2178.67041}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4102.718262, 'y': 102.299088, 'z': -1976.197144}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3940.139404, 'y': 129.23616, 'z': -1789.25415}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3381.884033, 'y': 132.449844, 'z': -2567.935791}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3188.656006, 'y': 200.022781, 'z': -2570.02832}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 15}
{'position': {'x': 3238.492188, 'y': 136.757614, 'z': -2647.070313}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 15}
{'position': {'x': 4025.532715, 'y': 103.764755, 'z': -1865.042725}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4095.180908, 'y': 101.568367, 'z': -1678.950195}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3678.257813, 'y': 153.789566, 'z': -1634.008667}, 'level_range': {'x': 17.0, 'y': 21.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3101.175293, 'y': 252.805359, 'z': -2525.072998}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 4305.606934, 'y': 110.544228, 'z': -2143.355225}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3196.851318, 'y': 153.597595, 'z': -2081.215332}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
{'position': {'x': 3858.257568, 'y': 27.0, 'z': -1529.304688}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 15}
{'position': {'x': 3418.582764, 'y': 125.080727, 'z': -2483.310059}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 15}
