{'position': {'x': 3294.340332, 'y': 220.939468, 'z': -4468.149414}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 21}
{'position': {'x': 3327.858887, 'y': 46.815472, 'z': -4633.527344}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3477.082764, 'y': 356.399536, 'z': -4091.129395}, 'level_range': {'x': 48.0, 'y': 52.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3443.714355, 'y': 185.194702, 'z': -4379.418945}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 4039.03125, 'y': 200.177017, 'z': -4024.059814}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3411.279541, 'y': 33.576668, 'z': -4593.430664}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 21}
{'position': {'x': 3864.254395, 'y': 200.160736, 'z': -3970.182129}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3684.730713, 'y': 285.691925, 'z': -4081.196289}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3298.963623, 'y': 51.961487, 'z': -4702.243164}, 'level_range': {'x': 51.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'yuki', 'area_no': 21}
{'position': {'x': 3445.477295, 'y': 356.687958, 'z': -3825.224365}, 'level_range': {'x': 48.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3369.04248, 'y': 196.880722, 'z': -4466.92627}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 21}
{'position': {'x': 3230.229248, 'y': 27.0, 'z': -4816.774414}, 'level_range': {'x': 51.0, 'y': 53.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 21}
{'position': {'x': 3992.134277, 'y': 199.51001, 'z': -4035.992676}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3534.40918, 'y': 27.0, 'z': -4420.603027}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 21}
{'position': {'x': 3437.080322, 'y': 32.864716, 'z': -4611.316406}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3440.522461, 'y': 27.0, 'z': -4648.293945}, 'level_range': {'x': 51.0, 'y': 53.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 21}
{'position': {'x': 3917.094727, 'y': 206.799088, 'z': -4034.9729}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3224.235596, 'y': 89.266876, 'z': -4717.049805}, 'level_range': {'x': 51.0, 'y': 53.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3579.321533, 'y': 203.517227, 'z': -3558.452637}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3383.471191, 'y': 39.548393, 'z': -4611.586914}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3930.844971, 'y': 201.123779, 'z': -4106.112793}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3466.782959, 'y': 375.846069, 'z': -4147.105469}, 'level_range': {'x': 48.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 4060.716797, 'y': 200.962463, 'z': -3950.215576}, 'level_range': {'x': 47.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 4070.911377, 'y': 199.993896, 'z': -4015.469482}, 'level_range': {'x': 48.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3874.055176, 'y': 209.630966, 'z': -3998.32251}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 21}
{'position': {'x': 3359.411377, 'y': 30.979589, 'z': -4727.291016}, 'level_range': {'x': 51.0, 'y': 53.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 21}
{'position': {'x': 3204.879395, 'y': 133.205948, 'z': -4556.772949}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 21}
