{'position': {'x': 2525.942871, 'y': 98.330963, 'z': -1125.267822}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3377.551514, 'y': 50.044117, 'z': -1137.072754}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 3108.322021, 'y': 150.033569, 'z': -1723.704834}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 3159.709717, 'y': 76.364128, 'z': -1270.017456}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3388.7229, 'y': 180.667694, 'z': -1618.679199}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 3368.228271, 'y': 165.241272, 'z': -1521.444214}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 3218.474121, 'y': 85.145264, 'z': -880.169373}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3138.253174, 'y': 66.850136, 'z': -1332.180786}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 2760.404785, 'y': 154.607193, 'z': -1504.304077}, 'level_range': {'x': 16.0, 'y': 18.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3471.785889, 'y': 27.0, 'z': -989.392212}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 7}
{'position': {'x': 3766.817139, 'y': 27.0, 'z': -1284.964478}, 'level_range': {'x': 21.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 7}
{'position': {'x': 3202.989502, 'y': 86.074562, 'z': -884.501282}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3314.080811, 'y': 50.689945, 'z': -1132.127563}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 3239.900391, 'y': 153.565002, 'z': -1708.342529}, 'level_range': {'x': 17.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 2868.775391, 'y': 155.252167, 'z': -1319.813477}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3184.57251, 'y': 162.665802, 'z': -1656.332642}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 2692.220703, 'y': 125.400909, 'z': -1370.442505}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3335.709229, 'y': 50.9977, 'z': -1081.015625}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 3276.026611, 'y': 67.875237, 'z': -1351.200806}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3315.568604, 'y': 145.559006, 'z': -1548.793701}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 2706.313477, 'y': 122.463593, 'z': -1328.532715}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 2966.318848, 'y': 111.060249, 'z': -1217.197144}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3077.242188, 'y': 100.012207, 'z': -1461.720093}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3153.528076, 'y': 95.351204, 'z': -966.709595}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3357.605713, 'y': 27.0, 'z': -965.275208}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3278.49585, 'y': 148.729828, 'z': -1705.542236}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 3024.872803, 'y': 100.705223, 'z': -1158.816162}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3423.535156, 'y': 51.450649, 'z': -1118.976929}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 3605.971924, 'y': 312.166748, 'z': -1472.087036}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'mountain', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 3164.781006, 'y': 106.125931, 'z': -1102.384888}, 'level_range': {'x': 17.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3388.571289, 'y': 50.044117, 'z': -1153.855591}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 3026.791016, 'y': 97.387543, 'z': -1130.616333}, 'level_range': {'x': 17.0, 'y': 21.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 3170.631592, 'y': 107.682243, 'z': -1065.7677}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3094.720215, 'y': 86.008636, 'z': -1185.335449}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3142.06543, 'y': 85.365921, 'z': -918.573303}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 2678.047363, 'y': 116.066559, 'z': -1282.678467}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3081.902832, 'y': 150.003052, 'z': -1677.10437}, 'level_range': {'x': 16.0, 'y': 20.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 3351.173584, 'y': 50.997986, 'z': -1111.560547}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 7}
{'position': {'x': 2981.549561, 'y': 114.56382, 'z': -1367.095093}, 'level_range': {'x': 16.0, 'y': 18.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3395.507568, 'y': 59.221241, 'z': -1206.814575}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3291.735107, 'y': 145.272537, 'z': -1542.325928}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 2849.094238, 'y': 154.12262, 'z': -1327.498901}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 2769.677979, 'y': 151.690781, 'z': -1338.525146}, 'level_range': {'x': 17.0, 'y': 20.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 3315.220215, 'y': 27.0, 'z': -921.342346}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 7}
