{'position': {'x': 1680.255005, 'y': 112.202896, 'z': -549.416443}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1552.411011, 'y': 108.198868, 'z': -677.457825}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'bamboo_forest', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1549.395752, 'y': 107.033653, 'z': -316.878571}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1677.281128, 'y': 114.343872, 'z': -739.552612}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1535.881104, 'y': 107.049797, 'z': -338.064392}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1639.93689, 'y': 106.5, 'z': -700.646545}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1597.752319, 'y': 108.939095, 'z': -330.809845}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1603.399048, 'y': 104.0, 'z': -467.097778}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1645.989014, 'y': 106.5, 'z': -692.638123}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1528.591187, 'y': 111.427536, 'z': -749.879028}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1634.531006, 'y': 106.40712, 'z': -661.268799}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'hate_iwa', 'area_no': 8}
{'position': {'x': 1528.266724, 'y': 111.338737, 'z': -737.426697}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1596.789185, 'y': 112.138237, 'z': -641.051453}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1598.07666, 'y': 111.67469, 'z': -629.480347}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1661.215332, 'y': 109.686867, 'z': -446.698883}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1649.802124, 'y': 106.5, 'z': -688.998047}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1722.882446, 'y': 113.272667, 'z': -746.137085}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'bamboo_forest', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1692.208862, 'y': 114.207214, 'z': -626.330505}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1633.531006, 'y': 106.5, 'z': -709.876526}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1597.036011, 'y': 104.0, 'z': -450.627838}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1622.40918, 'y': 111.87912, 'z': -605.303955}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1695.227295, 'y': 114.971031, 'z': -712.511414}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'bamboo_forest', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1663.53125, 'y': 114.762466, 'z': -639.536316}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 8}
{'position': {'x': 1707.552246, 'y': 110.346741, 'z': -440.61319}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1563.467163, 'y': 108.343651, 'z': -341.803955}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1708.446167, 'y': 113.852684, 'z': -654.20105}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1541.000366, 'y': 103.615547, 'z': -407.328308}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1603.134155, 'y': 104.0, 'z': -460.619293}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1541.978394, 'y': 108.12236, 'z': -694.572388}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'bamboo_forest', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 1612.72644, 'y': 106.5, 'z': -781.608398}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 8}
{'position': {'x': 1568.445923, 'y': 109.161423, 'z': -650.809937}, 'level_range': {'x': 19.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
