{'position': {'x': 1427.06665, 'y': 135.994629, 'z': -1150.312256}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1510.611572, 'y': 133.5, 'z': -1164.100098}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1689.753418, 'y': 133.5, 'z': -958.471924}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 9}
{'position': {'x': 1692.794678, 'y': 135.708328, 'z': -1148.700806}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1678.441772, 'y': 133.5, 'z': -1130.22998}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1555.566162, 'y': 133.5, 'z': -884.423584}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1566.333374, 'y': 135.940765, 'z': -794.654114}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1424.099121, 'y': 142.04631, 'z': -1165.695679}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1618.645996, 'y': 162.106476, 'z': -993.282837}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1572.552856, 'y': 133.5, 'z': -892.855286}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1496.330811, 'y': 133.5, 'z': -1166.756836}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1550.197388, 'y': 133.5, 'z': -1086.108887}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1541.019653, 'y': 133.5, 'z': -1084.045776}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1630.102051, 'y': 133.5, 'z': -1056.851196}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1484.653687, 'y': 133.5, 'z': -1082.634033}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1564.429932, 'y': 133.5, 'z': -1007.567566}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1564.9198, 'y': 133.5, 'z': -1141.554932}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1571.69519, 'y': 133.5, 'z': -999.352661}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1559.840698, 'y': 133.5, 'z': -1126.783203}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1679.918091, 'y': 134.987488, 'z': -837.850342}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1557.242188, 'y': 133.5, 'z': -880.358154}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1621.770508, 'y': 136.055664, 'z': -1165.796265}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1552.36438, 'y': 133.5, 'z': -1057.518311}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1653.115601, 'y': 133.5, 'z': -1067.709106}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1740.659546, 'y': 133.5, 'z': -933.34491}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1509.739258, 'y': 136.086182, 'z': -1226.014526}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1511.80249, 'y': 164.496719, 'z': -869.340698}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 9}
{'position': {'x': 1611.781006, 'y': 135.994629, 'z': -1145.008057}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1663.970215, 'y': 162.030472, 'z': -925.86438}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 9}
{'position': {'x': 1477.266235, 'y': 137.900009, 'z': -1173.689209}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1588.211548, 'y': 172.325577, 'z': -974.58728}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
{'position': {'x': 1513.656616, 'y': 133.5, 'z': -895.520081}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1639.9104, 'y': 133.5, 'z': -1042.984253}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 9}
{'position': {'x': 1602.114746, 'y': 162.302383, 'z': -1027.891968}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 9}
