{'position': {'x': 1418.115356, 'y': 101.407539, 'z': -364.868439}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 1513.144897, 'y': 107.051376, 'z': -429.871735}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1273.42041, 'y': 107.678894, 'z': -465.851135}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1445.681763, 'y': 101.705498, 'z': -310.266785}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 1328.150879, 'y': 163.418503, 'z': -674.498535}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1258.879395, 'y': 136.574493, 'z': -575.200928}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1302.648438, 'y': 115.632584, 'z': -489.77243}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1426.291626, 'y': 139.155457, 'z': -520.846436}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1275.96936, 'y': 107.105148, 'z': -428.622162}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1290.612915, 'y': 107.013741, 'z': -454.233643}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1382.123535, 'y': 101.26902, 'z': -371.229797}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 1425.69873, 'y': 138.868271, 'z': -541.858521}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1568.814331, 'y': 105.577209, 'z': -464.906067}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1332.117676, 'y': 118.124283, 'z': -732.993713}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 1330.497559, 'y': 124.975342, 'z': -529.734314}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1348.016357, 'y': 191.868607, 'z': -776.634705}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 1351.643677, 'y': 163.91246, 'z': -668.661316}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1447.608887, 'y': 106.79422, 'z': -395.706329}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1413.93689, 'y': 134.297852, 'z': -508.455414}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1275.295654, 'y': 107.473312, 'z': -464.136963}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1326.71875, 'y': 106.879082, 'z': -437.685242}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1331.416504, 'y': 130.149277, 'z': -564.096741}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1275.877197, 'y': 107.908913, 'z': -467.638794}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1483.778198, 'y': 143.873734, 'z': -543.481567}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'bamboo_forest', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1379.667358, 'y': 168.056625, 'z': -691.062927}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 1363.34436, 'y': 142.134415, 'z': -604.081665}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1382.96106, 'y': 123.234467, 'z': -507.867523}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1356.706543, 'y': 116.574417, 'z': -498.999023}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1336.871338, 'y': 161.761993, 'z': -664.890198}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1385.235107, 'y': 121.178688, 'z': -500.594452}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1286.112549, 'y': 140.362747, 'z': -576.969299}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 1293.667847, 'y': 158.324127, 'z': -665.722168}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1270.421753, 'y': 107.614243, 'z': -460.15152}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1518.92981, 'y': 138.25853, 'z': -523.366394}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1434.388672, 'y': 121.346725, 'z': -466.283112}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1316.50769, 'y': 126.120476, 'z': -552.271973}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1394.756104, 'y': 101.275383, 'z': -342.280029}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 1358.533813, 'y': 163.942963, 'z': -669.070007}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1333.176147, 'y': 106.879082, 'z': -431.874176}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1374.845581, 'y': 124.707413, 'z': -735.176758}, 'level_range': {'x': 15.0, 'y': 18.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 1288.132568, 'y': 107.20237, 'z': -410.217407}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1424.081299, 'y': 138.97876, 'z': -534.536621}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
{'position': {'x': 1488.486084, 'y': 129.926544, 'z': -495.922058}, 'level_range': {'x': 13.0, 'y': 16.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 3}
