{'position': {'x': 2755.618408, 'y': 118.9953, 'z': -1666.424072}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 2716.58667, 'y': 100.205063, 'z': -1739.597046}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 3091.887939, 'y': 130.38855, 'z': -1852.101685}, 'level_range': {'x': 9.0, 'y': 14.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 2683.327148, 'y': 100.012207, 'z': -1842.700562}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 8}
{'position': {'x': 3094.353027, 'y': 131.173111, 'z': -1815.491455}, 'level_range': {'x': 9.0, 'y': 14.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 2975.779053, 'y': 160.662491, 'z': -1569.942139}, 'level_range': {'x': 7.0, 'y': 11.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 8}
{'position': {'x': 3329.690186, 'y': 139.411346, 'z': -1824.002686}, 'level_range': {'x': 11.0, 'y': 16.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 3020.741699, 'y': 144.997864, 'z': -1746.439575}, 'level_range': {'x': 7.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 3479.719727, 'y': 114.966057, 'z': -1741.057983}, 'level_range': {'x': 13.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 3409.056885, 'y': 114.930969, 'z': -1775.961182}, 'level_range': {'x': 12.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 3128.75415, 'y': 110.838066, 'z': -1899.272827}, 'level_range': {'x': 9.0, 'y': 14.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 2805.858643, 'y': 119.071594, 'z': -1657.7146}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 3167.277832, 'y': 100.012207, 'z': -1769.885132}, 'level_range': {'x': 9.0, 'y': 14.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 3492.057861, 'y': 108.008301, 'z': -1703.816528}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 3222.441895, 'y': 122.387321, 'z': -1804.684204}, 'level_range': {'x': 10.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 3039.346436, 'y': 189.384995, 'z': -1707.203491}, 'level_range': {'x': 7.0, 'y': 12.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 8}
{'position': {'x': 2848.771484, 'y': 118.9953, 'z': -1588.106323}, 'level_range': {'x': 7.0, 'y': 10.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 8}
{'position': {'x': 2643.367188, 'y': 100.012207, 'z': -1818.662231}, 'level_range': {'x': 8.0, 'y': 13.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 8}
{'position': {'x': 3281.931641, 'y': 129.596497, 'z': -1805.329956}, 'level_range': {'x': 11.0, 'y': 16.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 8}
