{'position': {'x': 4905.192871, 'y': 27.0, 'z': -2093.219727}, 'level_range': {'x': 23.0, 'y': 34.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4738.572754, 'y': 27.0, 'z': -2272.712402}, 'level_range': {'x': 21.0, 'y': 32.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 26}
{'position': {'x': 4907.165039, 'y': 27.0, 'z': -1919.150879}, 'level_range': {'x': 22.0, 'y': 33.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4772.9375, 'y': 27.0, 'z': -2935.718018}, 'level_range': {'x': 26.0, 'y': 36.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4435.367188, 'y': 27.0, 'z': -2805.94458}, 'level_range': {'x': 20.0, 'y': 31.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4792.413574, 'y': 27.0, 'z': -2790.278564}, 'level_range': {'x': 24.0, 'y': 35.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4901.855469, 'y': 27.0, 'z': -1947.221436}, 'level_range': {'x': 22.0, 'y': 33.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4348.424805, 'y': 28.589596, 'z': -2411.686523}, 'level_range': {'x': 16.0, 'y': 27.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 26}
{'position': {'x': 4736.80957, 'y': 27.0, 'z': -3000.580566}, 'level_range': {'x': 26.0, 'y': 36.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4695.238281, 'y': 27.0, 'z': -2017.754639}, 'level_range': {'x': 19.0, 'y': 30.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4907.161621, 'y': 27.0, 'z': -2193.833984}, 'level_range': {'x': 23.0, 'y': 34.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4831.942383, 'y': 27.0, 'z': -1893.050659}, 'level_range': {'x': 21.0, 'y': 32.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4599.024414, 'y': 27.0, 'z': -1551.096436}, 'level_range': {'x': 16.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
{'position': {'x': 4667.397461, 'y': 27.0, 'z': -1650.214966}, 'level_range': {'x': 16.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 26}
