{'position': {'x': 1743.685059, 'y': 162.088745, 'z': -2946.650146}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2332.398193, 'y': 260.813599, 'z': -3716.513672}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2065.060547, 'y': 138.771896, 'z': -3539.687012}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2072.450195, 'y': 139.114502, 'z': -3436.743408}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1594.496948, 'y': 100.161011, 'z': -3458.875732}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1823.739014, 'y': 201.676239, 'z': -2889.356934}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1664.524902, 'y': 177.687469, 'z': -3002.152588}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2178.349121, 'y': 132.879837, 'z': -3675.04541}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1694.659424, 'y': 153.157272, 'z': -3055.169189}, 'level_range': {'x': 28.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2251.276123, 'y': 188.765396, 'z': -3841.914551}, 'level_range': {'x': 33.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2180.813232, 'y': 173.152954, 'z': -3342.584473}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2274.054688, 'y': 144.071045, 'z': -3626.040039}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 2234.877197, 'y': 146.091949, 'z': -3549.952148}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1925.373413, 'y': 152.960327, 'z': -3223.870117}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 12}
{'position': {'x': 1669.633789, 'y': 102.856049, 'z': -3446.068115}, 'level_range': {'x': 32.0, 'y': 35.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
{'position': {'x': 1809.123779, 'y': 144.734909, 'z': -3163.293945}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 12}
