{'position': {'x': 777.34729, 'y': 169.824753, 'z': -571.75885}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 904.901001, 'y': 142.855835, 'z': -485.886871}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 841.02533, 'y': 158.809402, 'z': -496.008087}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1012.367981, 'y': 131.245132, 'z': -560.313782}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 749.540955, 'y': 154.212234, 'z': -484.412048}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 801.603943, 'y': 162.423309, 'z': -459.651611}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1017.15448, 'y': 120.826469, 'z': -445.449738}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 853.265686, 'y': 166.702744, 'z': -552.709412}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1048.934326, 'y': 150.153427, 'z': -637.786743}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1036.964233, 'y': 115.101761, 'z': -530.639648}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1081.285767, 'y': 139.358444, 'z': -630.190552}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 800.54834, 'y': 169.962769, 'z': -614.595459}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 862.889282, 'y': 155.441956, 'z': -511.046814}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 831.441223, 'y': 161.99028, 'z': -523.123474}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 944.387573, 'y': 131.74408, 'z': -433.758911}, 'level_range': {'x': 11.0, 'y': 15.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
