{'position': {'x': 995.274597, 'y': 98.85247, 'z': -368.147186}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1198.446655, 'y': 105.057312, 'z': -428.10321}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1203.856079, 'y': 108.258553, 'z': -359.263519}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 787.421082, 'y': 113.858292, 'z': -387.236481}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 802.018799, 'y': 101.732498, 'z': -325.324219}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1213.755981, 'y': 105.039017, 'z': -328.343994}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1188.1427, 'y': 108.5047, 'z': -459.068542}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1109.498413, 'y': 105.830505, 'z': -327.051056}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1130.748657, 'y': 99.561493, 'z': -355.478882}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1252.628906, 'y': 101.727936, 'z': -424.790405}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 1}
{'position': {'x': 903.542664, 'y': 102.97924, 'z': -342.115936}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1094.582886, 'y': 110.107513, 'z': -312.323547}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1117.164185, 'y': 99.873497, 'z': -354.928558}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 921.139404, 'y': 102.978073, 'z': -313.795807}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1211.488647, 'y': 103.563446, 'z': -396.95816}, 'level_range': {'x': 9.0, 'y': 12.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
